PRICEGROUP,SUBSIDIARYID,PRICERULEID,PRODUCTID
LES-SEG-MID,1,2,522074
LES-SEG-MID,1,2,522710
INK-HP-ATTACHED,1,2,73321
INK-OTHER-ATTACHED,1,2,554114
INK-OTHER-ATTACHED,1,2,554118
INK-OTHER-ATTACHED,1,2,554147
TONER-OTHER-PRIMARY,1,2,664885
TONER-OTHER-PRIMARY,1,2,532393
TONER-OTHER-ATTACHED,1,2,543548
TONER-HP-ATTACHED,1,2,171431
LES-SEG-MID,1,2,522115
LES-SEG-MID,1,2,236714
LES-SEG-HOOG,1,2,411360
TONER-OTHER-ATTACHED,1,2,532403
TONER-HP-ATTACHED,1,2,52982
IPS-SEG-HOOG,1,2,660691
INK-HP-PRIMARY,1,2,454712
SCAN-LAAG,1,2,365459
INK-OTHER-PRIMARY,1,2,34244
SCAN-LAAG,1,2,624053
INK-OTHER-ATTACHED,1,2,61712
INK-OTHER-ATTACHED,1,2,660285
TONER-OTHER-ATTACHED,1,2,573302
INK-HP-ATTACHED,1,2,468492
TONER-OTHER-ATTACHED,1,2,236556
TONER-OTHER-PRIMARY,1,2,532407
TONER-OTHER-ATTACHED,1,2,327065
INK-HP-ATTACHED,1,2,455742
TONER-OTHER-ATTACHED,1,2,532431
INK-HP-PRIMARY,1,2,454391
LES-SEG-MID,1,2,683707
LES-SEG-HOOG,1,2,683709
INK-OTHER-ATTACHED,1,2,127533
INK-HP-ATTACHED,1,2,76474
INK-OTHER-ATTACHED,1,2,532098
LES-SEG-MID,1,2,474425
LES-SEG-HOOG,1,2,543728
IPS-SEG-MID2,1,1,665894
INK-OTHER-PRIMARY,1,2,232330
INK-OTHER-PRIMARY,1,2,451778
LES-SEG-HOOG,1,2,494496
LES-SEG-HOOG,1,2,688489
SCAN-LAAG,1,2,365022
INK-OTHER-PRIMARY,1,2,532101
TONER-OTHER-ATTACHED,1,2,110146
TONER-OTHER-ATTACHED,1,2,236544
LES-SEG-MID,1,2,683708
INK-OTHER-ATTACHED,1,2,532102
TONER-OTHER-ATTACHED,1,2,386516
TONER-OTHER-ATTACHED,1,2,543536
INK-HP-ATTACHED,1,2,62332
INK-OTHER-PRIMARY,1,2,532161
TONER-OTHER-PRIMARY,1,2,709839
IPS-SEG-HOOG,1,2,617321
INK-OTHER-ATTACHED,1,2,553971
TONER-HP-ATTACHED,1,2,134394
TONER-OTHER-ATTACHED,1,2,110149
INK-HP-ATTACHED,1,2,509768
LES-SEG-HOOG,1,2,717589
TONER-OTHER-ATTACHED,1,2,124614
INK-OTHER-ATTACHED,1,2,532099
INK-OTHER-PRIMARY,1,2,405977
INK-OTHER-ATTACHED,1,2,532097
INK-OTHER-PRIMARY,1,2,532163
INK-HP-PRIMARY,1,2,170159
TONER-OTHER-PRIMARY,1,2,532410
LES-SEG-HOOG,1,2,688476
INK-HP-ATTACHED,1,2,67279
TONER-HP-PRIMARY,1,2,289957
INK-OTHER-ATTACHED,1,2,524755
INK-OTHER-ATTACHED,1,2,524756
INK-OTHER-ATTACHED,1,2,524772
INK-OTHER-PRIMARY,1,2,524793
INK-HP-PRIMARY,1,2,53814
LES-SEG-HOOG,1,2,717590
LES-SEG-MID,1,2,485461
TONER-OTHER-ATTACHED,1,2,71101
IPS-SEG-MID2,1,1,507001
TONER-OTHER-ATTACHED,1,2,189171
INK-HP-ATTACHED,1,2,53912
TONER-HP-ATTACHED,1,2,609434
INK-OTHER-ATTACHED,1,2,707454
LES-SEG-HOOG,1,2,571586
TONER-OTHER-ATTACHED,1,2,125376
TONER-OTHER-PRIMARY,1,2,236771
SCAN-LAAG,1,2,365349
TONER-OTHER-ATTACHED,1,2,605836
LES-SEG-MID,1,2,573146
INK-OTHER-PRIMARY,1,2,284885
TONER-OTHER-PRIMARY,1,2,87625
LES-SEG-MID,1,2,436198
LES-SEG-MID,1,2,424805
LES-SEG-LAAG,1,1,414942
IPS-SEG-HOOG,1,2,409775
INK-HP-ATTACHED,1,2,724973
LES-SEG-MID,1,2,573156
INK-HP-ATTACHED,1,2,273561
LES-SEG-MID,1,2,435906
TONER-HP-ATTACHED,1,2,614815
TONER-OTHER-ATTACHED,1,2,605717
INK-OTHER-PRIMARY,1,2,107712
INK-HP-ATTACHED,1,2,724974
INK-HP-ATTACHED,1,2,724976
INK-HP-ATTACHED,1,2,724975
INK-OTHER-PRIMARY,1,2,492753
INK-HP-ATTACHED,1,2,468940
INK-HP-ATTACHED,1,2,67280
TONER-OTHER-PRIMARY,1,2,52801
TONER-OTHER-PRIMARY,1,2,605617
IPS-SEG-HOOG,1,2,492645
IPS-SEG-MID2,1,1,470785
TONER-OTHER-ATTACHED,1,2,573304
TONER-OTHER-ATTACHED,1,2,498287
TONER-OTHER-ATTACHED,1,2,498290
TONER-OTHER-ATTACHED,1,2,498291
INK-HP-ATTACHED,1,2,67281
LES-SEG-MID,1,2,522784
LES-SEG-MID,1,2,124950
TONER-OTHER-ATTACHED,1,2,382954
INK-OTHER-PRIMARY,1,2,52723
INK-HP-PRIMARY,1,2,53817
SCAN-LAAG,1,2,159988
SCAN-LAAG,1,2,400803
TONER-OTHER-ATTACHED,1,2,532305
TONER-OTHER-ATTACHED,1,2,715299
INK-OTHER-ATTACHED,1,2,273175
INK-OTHER-ATTACHED,1,2,20474
LES-SEG-HOOG,1,2,522824
LES-SEG-HOOG,1,2,685108
LES-SEG-HOOG,1,2,685109
LES-SEG-HOOG,1,2,235806
INK-OTHER-ATTACHED,1,2,146838
INK-HP-ATTACHED,1,2,273557
